hotel_name,hotel_slug,check_in_date,check_out_date,nights,guests,rooms,day_offset,availability,total_price,original_price,price_per_night,has_discount,discount_percentage,rating_score,review_count,scrape_timestamp
Thornybush Game Lodge,thornybush-game-lodge,2025-10-31,2025-11-02,2,2,1,2,sold_out,,,,False,,,,2025-10-29T16:17:33.251770
Thornybush Game Lodge,thornybush-game-lodge,2025-11-02,2025-11-04,2,2,1,4,sold_out,,,,False,,,,2025-10-29T16:17:39.465755
Thornybush Game Lodge,thornybush-game-lodge,2025-11-04,2025-11-06,2,2,1,6,available,111000.0,,55500.0,False,,,,2025-10-29T16:17:45.566108
Thornybush Game Lodge,thornybush-game-lodge,2025-11-06,2025-11-08,2,2,1,8,available,111000.0,,55500.0,False,,,,2025-10-29T16:17:51.367312
Thornybush Game Lodge,thornybush-game-lodge,2025-11-08,2025-11-10,2,2,1,10,available,111000.0,,55500.0,False,,,,2025-10-29T16:17:56.950179
Thornybush Game Lodge,thornybush-game-lodge,2025-11-10,2025-11-12,2,2,1,12,sold_out,,,,False,,,,2025-10-29T16:18:03.117815
Thornybush Game Lodge,thornybush-game-lodge,2025-11-12,2025-11-14,2,2,1,14,available,111000.0,,55500.0,False,,,,2025-10-29T16:18:09.304650
Thornybush Game Lodge,thornybush-game-lodge,2025-11-14,2025-11-16,2,2,1,16,sold_out,,,,False,,,,2025-10-29T16:18:15.663059
Thornybush Game Lodge,thornybush-game-lodge,2025-11-16,2025-11-18,2,2,1,18,sold_out,,,,False,,,,2025-10-29T16:18:21.851893
Thornybush Game Lodge,thornybush-game-lodge,2025-11-18,2025-11-20,2,2,1,20,available,111000.0,,55500.0,False,,,,2025-10-29T16:18:29.935144
Thornybush Game Lodge,thornybush-game-lodge,2025-11-20,2025-11-22,2,2,1,22,sold_out,,,,False,,,,2025-10-29T16:18:35.885387
Thornybush Game Lodge,thornybush-game-lodge,2025-11-22,2025-11-24,2,2,1,24,available,111000.0,,55500.0,False,,,,2025-10-29T16:18:41.726165
Thornybush Game Lodge,thornybush-game-lodge,2025-11-24,2025-11-26,2,2,1,26,sold_out,,,,False,,,,2025-10-29T16:18:47.671275
Thornybush Game Lodge,thornybush-game-lodge,2025-11-26,2025-11-28,2,2,1,28,sold_out,,,,False,,,,2025-10-29T16:18:53.775545
